JOB_TITLE,ROLE_NAME,RECRUITMENT_COUNT,LOCATIONS_NAME,COMPANY_LOCATION,CURRENT_EMPLOYEE_MIN,CURRENT_EMPLOYEE_MAX,LANGUAGES_NAME,TECH_STACKS,PROGRAMMING_LANGUAGES,SKILLS,TOTAL_WORK_HOURS,SALARY_MIN,SALARY_MAX,FIRST_WORKING_DAY_OF_WEEK,LAST_WORKING_DAY_OF_WEEK,WORK_ON_SATURDAY,WORK_ON_SUNDAY,EXPERIENCE_YEARS,DEADLINE,COMPANY_NAME,COMPANY_INDUSTRY,JOB_LEVEL,ACADEMIC_LEVEL,JOB_TYPE,COMPANY_URL,JOB_URL,DATE_CRAWL,LAYOUT_TYPE
GAME DESIGNER - THIẾT KẾ GAME (JUNIOR UP),"['VIỆC LÀM IT', 'GAME DESIGN', 'GAME DEVELOPMENT', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'NGHỆ THUẬT/HOẠT HÌNH/GAME']",2,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['GAME MECHANICS', 'GAMEPLAY DESIGN', 'LEVEL DESIGN', 'GAME FLOW', 'GAME MOBILE', 'GAME BALANCING']",['UNKNOWN'],"['PHÂN TÍCH', 'KỸ NĂNG THÍCH NGHI', 'CHỊU ĐƯỢC ÁP LỰC', 'CÂN BẰNG GAME', 'HỌC HỎI CÔNG NGHỆ MỚI', 'ĐỌC HIỂU TIẾNG ANH', 'LÀM VIỆC NHÓM', 'TỰ NGHIÊN CỨU', 'THIẾT KẾ KỊCH BẢN', 'TINH THẦN CHỦ ĐỘNG']",47.5,10333333.333333334,25000000.0,2,6,False,False,1 NĂM,31/12/2025,SONATGAME STUDIO,IT - PHẦN MỀM,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/sonatgame-studio/21388.html,https://www.topcv.vn/viec-lam/game-designer-thiet-ke-game-junior-up/1281187.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095985,09/12/2025 15:01:49,STANDARD
SENIOR PRODUCT OWNER (LOYALTY) - CÔNG TY LYNKID - TA172,"['PRODUCT OWNER/PRODUCT MANAGER', 'CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],-1.0,-1.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['DEVOPS', 'AGILE', 'VISIO']",['UNKNOWN'],"['XÂY DỰNG SLIDE', 'QUẢN LÝ BACKLOG', 'KỸ NĂNG THUYẾT TRÌNH', 'GIAO TIẾP', 'ĐỀ XUẤT GIẢI PHÁP', 'QUẢN LÝ RỦI RO', 'GIẢI QUYẾT VẤN ĐỀ', 'ĐÀO TẠO', 'HỢP TÁC NỘI BỘ', 'VẼ LUỒNG QUY TRÌNH NGHIỆP VỤ', 'XÂY DỰNG VÀ PHÁT TRIỂN SẢN PHẨM', 'TRUYỀN THÔNG', 'LẬP KẾ HOẠCH', 'TƯ DUY SẢN PHẨM', 'PHÂN TÍCH YÊU CẦU', 'ĐÀM PHÁN', 'KỸ NĂNG LÀM VIỆC', 'PHÂN TÍCH TÀI CHÍNH', 'TRÌNH BÀY GIẢI PHÁP', 'ĐO LƯỜNG HIỆU QUẢ SẢN PHẨM', 'ĐIỀU PHỐI TIẾN ĐỘ', 'TIẾNG ANH GIAO TIẾP', 'KỸ NĂNG PHÂN TÍCH', 'NẮM BẮT XU HƯỚNG THỊ TRƯỜNG', 'TIN HỌC VĂN PHÒNG']",47.5,14500000.0,26250000.0,2,6,True,False,2 NĂM,31/12/2025,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG (VPBANK),UNKNOWN,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,http://tuyendung.vpbank.com.vn/,https://www.topcv.vn/brand/vpbank/tuyen-dung/senior-product-owner-loyalty-cong-ty-lynkid-ta172-j1916678.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095985,09/12/2025 15:02:06,BRAND_V2
GRAPHIC DESIGNER,"['VIỆC LÀM IT', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'QUẢNG CÁO/SÁNG TẠO', 'MARKETING/PR/QUẢNG CÁO', 'SOFTWARE DESIGN', 'THIẾT KẾ ĐỒ HỌA (GRAPHIC DESIGN)']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],1.0,9.0,['TIẾNG VIỆT'],['UNKNOWN'],['UNKNOWN'],"['NẮM BẮT XU HƯỚNG THIẾT KẾ MỚI', 'SỬ DỤNG THÀNH THẠO CÁC PHẦN MỀM THIẾT KẾ', 'LÀM VIỆC ĐỘC LẬP', 'QUẢN LÝ THỜI GIAN', 'LÀM VIỆC NHÓM', 'SÁNG TẠO', 'GU THẨM MỸ TỐT']",49.0,10000000.0,12000000.0,2,6,True,False,1 NĂM,31/12/2025,CÔNG TY CỔ PHẦN VIET BOTANIC,BÁN LẺ - HÀNG TIÊU DÙNG - FMCG,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-viet-botanic/220381.html,https://www.topcv.vn/viec-lam/graphic-designer/1969870.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095985,09/12/2025 15:02:25,STANDARD
SYSTEM ADMIN 247,"['KỸ SƯ ĐIỆN TỬ VIỄN THÔNG', 'ĐIỆN/ĐIỆN TỬ/VIỄN THÔNG', 'VIỄN THÔNG']",4,['HÀ NỘI'],['HÀ NỘI'],500.0,1000.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['PROMETHEUS', 'AZURE', 'NETWORKING CONCEPTS', 'MARIADB', 'OEM', 'ORACLE DATABASE', 'NAGIOS', 'JIRA', 'WINDOWS', 'GRAFANA', 'LINUX', 'GCP', 'CLOUD COMPUTING', 'REDHAT', 'AWS', 'ZABBIX', 'SQL SERVER', 'PERCONA MONITORING', 'DATADOG', 'UBUNTU', 'CENTOS', 'OCI', 'PRTG', 'NEW RELIC', 'MYSQL', 'DATABASE CONCEPTS', 'SOLARWINDS']",['SQL'],"['LÀM BÁO CÁO', 'TỔNG HỢP THÔNG TIN', 'XỬ LÝ SỰ CỐ', 'CHỊU ÁP LỰC CÔNG VIỆC', 'QUY TRÌNH INCIDENT/PROBLEM/CHANGE', 'KHẮC PHỤC SỰ CỐ', 'TIN HỌC VĂN PHÒNG', 'PHÂN TÍCH SỰ CỐ', 'TIẾNG ANH', 'MẠNG MÁY TÍNH', 'QUẢN TRỊ HỆ THỐNG', 'LÀM VIỆC THEO CA', 'GIÁM SÁT HỆ THỐNG']",44.0,15000000.0,30000000.0,2,6,False,False,2 NĂM,31/01/2026,CÔNG TY CỔ PHẦN HẠ TẦNG VIỄN THÔNG CMC TELECOM,VIỄN THÔNG,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-ha-tang-vien-thong-cmc-telecom/200874.html,https://www.topcv.vn/viec-lam/system-admin-247/1865729.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095985,09/12/2025 15:02:42,STANDARD
CHUYÊN VIÊN THIẾT KẾ SẢN PHẨM,"['VIỆC LÀM IT', '3D MODELER', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'QUẢNG CÁO/SÁNG TẠO', 'MARKETING/PR/QUẢNG CÁO', 'SOFTWARE DESIGN']",1,['HÀ NỘI'],"['HỒ CHÍ MINH', 'HÀ NỘI']",100.0,499.0,['TIẾNG VIỆT'],"['ADOBE ILLUSTRATOR', 'CLO3D', 'AI', 'ADOBE CREATIVE SUITE', 'PHOTOSHOP', 'CAD']",['UNKNOWN'],"['TƯ DUY THIẾT KẾ', 'KỸ NĂNG VẼ PHÁC THẢO', 'SỬ DỤNG PHẦN MỀM THIẾT KẾ', 'TIẾP NHẬN PHẢN HỒI', 'LÀM VIỆC NHÓM']",50.25,13000000.0,18000000.0,2,6,True,False,1 NĂM,31/12/2025,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ SẢN XUẤT CHÍNH PHÁT,SẢN XUẤT,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-dau-tu-thuong-mai-va-san-xuat-chinh-phat/69266.html,https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-san-pham/1970291.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095985,09/12/2025 15:03:00,STANDARD
NHÂN VIÊN THIẾT KẾ 3D,"['VIỆC LÀM IT', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'QUẢNG CÁO/SÁNG TẠO', 'MARKETING/PR/QUẢNG CÁO', 'SOFTWARE DESIGN', 'THIẾT KẾ ĐỒ HỌA (GRAPHIC DESIGN)']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,['TIẾNG VIỆT'],"['3DS MAX', 'ADOBE ILLUSTRATOR', 'BLENDER', 'MAYA', 'SKETCHUP', 'ADOBE AFTER EFFECTS', 'VRAY', 'PHOTOSHOP', 'CINEMA 4D', 'CAD']",['UNKNOWN'],"['KHIẾU THẨM MỸ', 'THÁI ĐỘ LÀM VIỆC CHUYÊN NGHIỆP', 'KỸ NĂNG LÀM VIỆC NHÓM', 'BỐ CỤC', 'NẮM BẮT VÀ HIỂU CHÍNH XÁC CÁC KHÁI NIỆM THIẾT KẾ', 'THIẾT KẾ TRƯNG BÀY', 'ÁNH SÁNG', 'KỸ NĂNG DỰNG HÌNH 3D (MODELING)', 'KỸ NĂNG TẠO VẬT LIỆU VÀ TEXTURE', 'THIẾT KẾ ĐỒ HỌA', 'KỸ NĂNG RENDER', 'THIẾT KẾ MỸ THUẬT', 'THIẾT KẾ SỰ KIỆN', 'MÀU SẮC', 'KIẾN THỨC VỀ NGUYÊN LÝ THIẾT KẾ', 'SỬ DỤNG THÀNH THẠO PHẦN MỀM THIẾT KẾ 3D', 'TƯ DUY KHÔNG GIAN']",54.0,15000000.0,20000000.0,2,6,True,False,2 NĂM,31/12/2025,CÔNG TY TNHH LUMIVOX ADS,MARKETING / TRUYỀN THÔNG / QUẢNG CÁO,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lumivox-ads/217021.html,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-3d/1843245.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095985,09/12/2025 15:03:19,STANDARD
CỘNG TÁC VIÊN GRAPHIC DESIGN,"['VIỆC LÀM IT', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'QUẢNG CÁO/SÁNG TẠO', 'MARKETING/PR/QUẢNG CÁO', 'SOFTWARE DESIGN', 'THIẾT KẾ ĐỒ HỌA (GRAPHIC DESIGN)']",1,['HÀ NỘI'],['HÀ NỘI'],10.0,24.0,['TIẾNG VIỆT'],"['ADOBE ILLUSTRATOR', 'AFTER EFFECTS', 'ECOMMERCE', 'INDESIGN', 'ADOBE CREATIVE SUITE', 'PHOTOSHOP', 'SAAS', 'BRANDING STORYTELLING', 'FMCG']",['UNKNOWN'],"['TƯ DUY THIẾT KẾ CLEAN VÀ CHUYÊN NGHIỆP', 'TƯ DUY CHIẾN LƯỢC VỀ THƯƠNG HIỆU', 'KỂ CHUYỆN BẰNG HÌNH ẢNH', 'GIAO TIẾP HIỆU QUẢ', 'KỸ NĂNG LÀM VIỆC NHÓM', 'CÓ TRÁCH NHIỆM VỚI CÔNG VIỆC', 'HIỂU BIẾT VỀ THIẾT KẾ ĐỒ HỌA', 'CHỦ ĐỘNG', 'TINH THẦN HỌC HỎI CAO', 'KHẢ NĂNG SÁNG TẠO VÀ TƯ DUY HÌNH ẢNH', 'THIẾT KẾ THƯƠNG HIỆU', 'KHẢ NĂNG LÀM VIỆC ĐỘC LẬP', 'SÁNG TẠO']",47.5,12000000.0,17000000.0,2,6,True,False,2 NĂM,28/01/2026,CÔNG TY TNHH THƯƠNG MẠI QUẢNG CÁO VÀ NỘI THẤT VTT AD,MARKETING / TRUYỀN THÔNG / QUẢNG CÁO,NHÂN VIÊN,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-thuong-mai-quang-cao-va-noi-that-vtt-ad/189192.html,https://www.topcv.vn/viec-lam/cong-tac-vien-graphic-design/1701597.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:03:40,STANDARD
NHÂN VIÊN THIẾT KẾ ĐỒ HỌA - GRAPHIC DESIGNER,"['VIỆC LÀM IT', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'QUẢNG CÁO/SÁNG TẠO', 'MARKETING/PR/QUẢNG CÁO', 'SOFTWARE DESIGN', 'THIẾT KẾ ĐỒ HỌA (GRAPHIC DESIGN)']",1,['HÀ NỘI'],['HÀ NỘI'],100.0,499.0,['TIẾNG VIỆT'],"['ADOBE ILLUSTRATOR', 'CANVA', 'FIGMA', 'PHOTOSHOP', 'PACDORA']",['UNKNOWN'],"['TƯ DUY SÁNG TẠO', 'BẮT TREND TỐT', 'CHỦ ĐỘNG', 'CÓ TRÁCH NHIỆM VỚI DEADLINE', 'GU THẨM MỸ TRẺ TRUNG']",48.0,4000000.0,5000000.0,2,6,True,False,1 NĂM,31/12/2025,CÔNG TY TNHH SUN ROCK,THỜI TRANG,NHÂN VIÊN,CAO ĐẲNG TRỞ LÊN,BÁN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-sun-rock/229846.html,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-graphic-designer/1858127.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:04:00,STANDARD
MIDDLE .NET DEVELOPER,['.NET DEVELOPER'],1,['HÀ NỘI'],['HÀ NỘI'],100.0,499.0,['TIẾNG VIỆT'],"['MVC', 'DESIGN PATTERNS', 'REACT', 'OOP', 'DEVOPS', '.NET CORE', '.NET', 'VUEJS', 'REST API', 'AI', 'API', 'ENTITY FRAMEWORK', 'SQL SERVER', 'ASP.NET']","['C#', 'SQL']","['PHÂN TÍCH', 'TỐI ƯU TRUY VẤN', 'ƯỚC LƯỢNG KHỐI LƯỢNG CÔNG VIỆC', 'REVIEW CODE', 'LÀM VIỆC ĐỘC LẬP', 'GIẢI QUYẾT VẤN ĐỀ', 'NGHIÊN CỨU CÔNG NGHỆ MỚI', 'CHỦ ĐỘNG TRONG CÔNG VIỆC', 'TƯ DUY LOGIC', 'CẢI TIẾN SẢN PHẨM', 'TIẾP THU NHANH', 'TINH THẦN HỌC HỎI', 'LÀM VIỆC NHÓM', 'THIẾT KẾ', 'TỐI ƯU HIỆU NĂNG', 'XỬ LÝ LOGIC NGHIỆP VỤ', 'TƯ VẤN GIẢI PHÁP KỸ THUẬT', 'XỬ LÝ BUG']",47.5,-1.0,30000000.0,2,6,False,False,3 NĂM,31/12/2025,CÔNG TY CỔ PHẦN SYNODUS,IT - PHẦN MỀM,TRƯỞNG NHÓM,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-synodus/111658.html,https://www.topcv.vn/viec-lam/middle-net-developer/1970247.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:04:17,STANDARD
CHUYÊN VIÊN DESIGN MARKETING,"['VIỆC LÀM IT', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'QUẢNG CÁO/SÁNG TẠO', 'MARKETING/PR/QUẢNG CÁO', 'SOFTWARE DESIGN', 'THIẾT KẾ ĐỒ HỌA (GRAPHIC DESIGN)']",1,['HÀ NỘI'],"['HỒ CHÍ MINH', 'HÀ NỘI']",100.0,499.0,['TIẾNG VIỆT'],"['ADOBE ILLUSTRATOR', 'GOOGLE DISPLAY NETWORK', 'GIF', 'LANDING PAGE', 'SKETCH', 'POSM', 'FIGMA', 'BRAND GUIDELINE', 'INDESIGN', 'AI', 'MOTION GRAPHIC', 'PHOTOSHOP', 'FACEBOOK ADS', 'TIKTOK ADS', 'WEBSITE', 'HTML5 BANNER']",['UNKNOWN'],"['ĐỊNH HƯỚNG ART', 'SẴN SÀNG THỬ NGHIỆM VÀ CẢI TIẾN LIÊN TỤC', 'XÂY DỰNG NHẬN DIỆN THƯƠNG HIỆU', 'TIẾP THU PHẢN HỒI TÍCH CỰC', 'CHỦ ĐỘNG', 'QUẢN LÝ THỜI GIAN', 'TƯ DUY MỞ', 'CẨN THẬN', 'SÁNG TẠO', 'TƯ DUY HÌNH ẢNH']",50.25,10000000.0,15000000.0,2,6,True,False,1 NĂM,31/12/2025,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ SẢN XUẤT CHÍNH PHÁT,SẢN XUẤT,NHÂN VIÊN,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-dau-tu-thuong-mai-va-san-xuat-chinh-phat/69266.html,https://www.topcv.vn/viec-lam/chuyen-vien-design-marketing/1970219.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:04:36,STANDARD
ECOMMERCE APPLICATION OPERATION,"['IT CONSULTANT', 'CÔNG NGHỆ THÔNG TIN', 'VIỆC LÀM IT', 'CÔNG NGHỆ THÔNG TIN KHÁC']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],100.0,499.0,['TIẾNG VIỆT'],"['WOOCOMMERCE', 'SHOPIFY', 'ECOMMERCE', 'LOGISTICS', 'EDI', 'ERP', 'MICROSOFT DYNAMICS 365', 'ACUMATICA', 'CRM', 'MOBILE APP', 'MAGENTO', 'POS', 'PAYMENT GATEWAY', 'RETAIL', 'API', 'MARKETPLACE', 'ORACLE NETSUITE']",['UNKNOWN'],"['PHỐI HỢP VỚI NHIỀU PHÒNG BAN', 'THIẾT KẾ QUY TRÌNH', 'QUẢN LÝ RỦI RO', 'VIẾT TÀI LIỆU', 'GIẢI QUYẾT VẤN ĐỀ', 'PHÂN TÍCH NGHIỆP VỤ', 'GIAO TIẾP', 'QUẢN LÝ DỰ ÁN']",49.0,11500000.0,21250000.0,2,6,True,False,2 NĂM,31/12/2025,CÔNG TY TNHH MENAS,NHÀ HÀNG / KHÁCH SẠN,NHÂN VIÊN,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-menas/108147.html,https://www.topcv.vn/viec-lam/ecommerce-application-operation/1880372.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:04:55,STANDARD
MIDDLE AI DEVELOPER,"['SOFTWARE ENGINEER', 'SOFTWARE ENGINEERING']",1,['ĐÀ NẴNG'],['ĐÀ NẴNG'],100.0,499.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['KERAS', 'DATA AUGMENTATION', 'MACHINE LEARNING', 'DEEP LEARNING', 'TENSORFLOW', 'DATA PRE-PROCESSING', 'AI', 'PYTORCH', 'COMPUTER VISION']",['PYTHON'],"['GIAO TIẾP', 'LÀM VIỆC NHÓM', 'GIAO TIẾP TIẾNG ANH']",45.0,16125000.0,27500000.0,2,6,False,False,3 NĂM,31/12/2025,CÔNG TY TNHH CÔNG NGHỆ RIKAI,IT - PHẦN MỀM,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-rikai/32673.html,https://www.topcv.vn/viec-lam/middle-ai-developer/1969752.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:05:11,STANDARD
NHÂN VIÊN GRAPHIC DESIGN,"['VIỆC LÀM IT', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'THIẾT KẾ', 'CÔNG NGHỆ THÔNG TIN', 'QUẢNG CÁO/SÁNG TẠO', 'MARKETING/PR/QUẢNG CÁO', 'SOFTWARE DESIGN', 'THIẾT KẾ ĐỒ HỌA (GRAPHIC DESIGN)']",1,['HÀ NỘI'],['HÀ NỘI'],100.0,499.0,['TIẾNG VIỆT'],"['ADOBE ILLUSTRATOR', 'PHOTOSHOP']",['UNKNOWN'],"['TƯ DUY SÁNG TẠO', 'BỐ CỤC', 'KHẢ NĂNG MỸ THUẬT TỐT', 'THIẾT KẾ ĐỒ HỌA', 'CHỦ ĐỘNG TRONG CÔNG VIỆC', 'MÀU SẮC', 'KỸ NĂNG LÀM VIỆC ĐỘC LẬP', 'LÀM VIỆC THEO NHÓM']",47.5,13000000.0,15000000.0,2,6,False,False,3 NĂM,31/12/2025,CÔNG TY CP GỖ BKG,THIẾT KẾ / KIẾN TRÚC,NHÂN VIÊN,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-cp-go-bkg/113779.html,https://www.topcv.vn/viec-lam/nhan-vien-graphic-design/1969751.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:05:27,STANDARD
PRODUCT OWNER,"['PRODUCT OWNER/PRODUCT MANAGER', 'CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],1000.0,-1.0,['TIẾNG VIỆT'],"['AGILE', 'MIXPANEL', 'AMPLITUDE', 'LOOKER', 'WEB', 'GA4', 'UI/UX DESIGN']",['UNKNOWN'],"['RA QUYẾT ĐỊNH DỰA TRÊN DỮ LIỆU', 'ĐẶT NGƯỜI DÙNG LÀM TRUNG TÂM', 'TƯ DUY DATA-DRIVEN', 'THÍCH NGHI NHANH', 'PHÂN TÍCH DỮ LIỆU', 'A/B TESTING', 'CHỦ ĐỘNG', 'TƯ DUY HỆ THỐNG', 'YÊU THÍCH THỬ NGHIỆM', 'SPRINT PLANNING', 'NGHIÊN CỨU NGƯỜI DÙNG', 'GIAO TIẾP', 'ĐIỀU PHỐI', 'ĐAM MÊ SẢN PHẨM', 'PRODUCT MANAGEMENT']",46.25,30000000.0,50000000.0,2,6,False,False,3 NĂM,31/12/2025,CÔNG TY CỔ PHẦN VH EDTECH,GIÁO DỤC / ĐÀO TẠO,TRƯỞNG/PHÓ PHÒNG,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-vh-edtech/192402.html,https://www.topcv.vn/viec-lam/product-owner/1969749.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:05:43,STANDARD
SYSTEM ADMINISTRATOR,"['SYSTEM ADMINISTRATOR', 'IT INFRASTRUCTURE AND OPERATIONS', 'CÔNG NGHỆ THÔNG TIN', 'VIỆC LÀM IT']",3,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['PROMETHEUS', 'DOCKER', 'VMWARE', 'ROUTING', 'NAS', 'MARIADB', 'SYSTEM SECURITY', 'ORACLE DATABASE', 'LOAD BALANCE', 'VPN', 'WINDOWS', 'GRAFANA', 'LINUX', 'DHCP', 'MONGODB', 'DATA CENTER', 'HYPER-V', 'SAN', 'TCP', 'DATA RECOVERY', 'BACKUP', 'DNS', 'KUBERNETES', 'ZABBIX', 'FIREWALLS', 'UBUNTU', 'IP', 'CENTOS', 'ELASTICSEARCH', 'MONITORING', 'VLAN']","['NOSQL', 'SQL']","['QUẢN TRỊ MẠNG', 'ĐỌC HIỂU TÀI LIỆU KỸ THUẬT TIẾNG ANH', 'XỬ LÝ SỰ CỐ', 'QUẢN TRỊ HỆ ĐIỀU HÀNH', 'BẢO MẬT HỆ THỐNG', 'SAO LƯU VÀ PHỤC HỒI DỮ LIỆU', 'CHỦ ĐỘNG', 'TƯ DUY PHÂN TÍCH', 'CẨN THẬN', 'ẢO HÓA', 'QUẢN TRỊ HỆ THỐNG']",45.0,15000000.0,30000000.0,2,6,False,False,2 NĂM,01/01/2026,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ TRUYỀN THÔNG NAM VIỆT,IT - PHẦN MỀM,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-va-phat-trien-cong-nghe-truyen-thong-nam-viet/73797.html,https://www.topcv.vn/viec-lam/system-administrator/1933817.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095997,09/12/2025 15:06:00,STANDARD
