Job_Title,Tech_Stack,Programming_Language,Roles,Recruitment_Count,Province,Company_Location,Current_Employee_Min,Current_Employee_Max,Language,Skills,Total_Work_Hour,Salary_Min,Salary_Max,First_Working_Day_Of_Week,Last_Working_Day_Of_Week,Work_On_Saturday,Work_On_Sunday
Senior Frontend Developer (React.Js/Next.Js),"['REACTJS', 'NEXT.JS', 'UI/UX', 'API', 'SEO', 'UNIT TEST', 'INTEGRATION TEST', 'APP STORE', 'GOOGLE PLAY', 'PWA', 'AI', 'HTML', 'SCSS', 'TAILWINDCSS', 'RESTFUL APIS', 'GIT', 'FUNCTIONAL PROGRAMMING']","['REACTJS', 'JAVASCRIPT', 'NEXT.JS']","['FRONTEND DEVELOPER', 'SOFTWARE ENGINEERING', 'CÔNG NGHỆ THÔNG TIN', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,['TIẾNG VIỆT'],"['LÀM VIỆC NHÓM', 'KỸ NĂNG NGHIÊN CỨU', 'TRÁCH NHIỆM CAO', 'LÀM VIỆC ĐỘC LẬP', 'GIAO TIẾP TỐT', 'GIẢI QUYẾT VẤN ĐỀ', 'TƯ DUY TỐT', 'HỌC HỎI NHANH', 'CẨN THẬN', 'TỈ MỈ', 'ĐAM MÊ CÔNG VIỆC', 'CHẤP NHẬN THÁCH THỨC']",,,30000000.0,,,False,False
Nhân Viên Gán Nhãn & Kiểm Duyệt Nội Dung Sàn Thương Mại Điện Tử (Mảng Chăm Sóc Khách Hàng),"['ARTIFICIAL INTELLIGENCE', 'DATA LABELING']",,"['CHĂM SÓC KHÁCH HÀNG', 'CÔNG NGHỆ THÔNG TIN', 'BUSINESS OPERATION', 'ARTIFICIAL INTELLIGENCE', 'DATA LABELING', 'VIỆC LÀM IT']",10,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],10.0,24.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['TIẾNG ANH', 'TỐC ĐỘ ĐÁNH MÁY', 'KỸ NĂNG GIAO TIẾP', 'XỬ LÝ TÌNH HUỐNG', 'CHĂM SÓC KHÁCH HÀNG', 'SỬ DỤNG MÁY TÍNH', 'PHÂN TÍCH THÔNG TIN']",37.5,7400000.0,8000000.0,,,True,True
Kỹ Sư Triển Khai Dự Án Hệ Thống (Postsale System),"['VMWARE', 'CITRIX', 'HYPER-V', 'HPE', 'IBM', 'DELL EMC', 'ACTIVE DIRECTORY', 'DNS', 'MAIL SERVER', 'PROXY', 'SAN', 'NAS', 'NETAPP', 'HP', 'FUJITSU', 'EMC', 'CLOUD', 'ORACLE', 'WINDOWS SERVER', 'LINUX', 'UNIX', 'INFRASTRUCTURE', 'APPLICATION', 'DHCP', 'DATABASE', 'BACKUP', 'MCSA', 'WORD', 'EXCEL', 'POWERPOINT']",['SQL'],"['CÔNG NGHỆ THÔNG TIN', 'IT INFRASTRUCTURE AND OPERATIONS', 'SYSTEM ENGINEER', 'VIỆC LÀM IT']",10,"['HÀ NỘI', 'HỒ CHÍ MINH']",['HÀ NỘI'],500.0,1000.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['KỸ NĂNG GIAO TIẾP', 'KỸ NĂNG GIẢI QUYẾT VẤN ĐỀ', 'KỸ NĂNG QUẢN LÝ DỰ ÁN', 'KỸ NĂNG TRIỂN KHAI PHẦN MỀM', 'KIẾN THỨC VỀ HỆ THỐNG', 'TRIỂN KHAI DỰ ÁN', 'GIÁM SÁT THI CÔNG', 'THEO DÕI VÀ KIỂM SOÁT TIẾN ĐỘ DỰ ÁN', 'XÂY DỰNG TÀI LIỆU KỸ THUẬT', 'TƯ VẤN GIẢI PHÁP', 'XỬ LÝ SỰ CỐ', 'QUẢN TRỊ HỆ THỐNG', 'BẢO TRÌ HỆ THỐNG', 'NGHIÊN CỨU SẢN PHẨM VÀ GIẢI PHÁP', 'SẴN SÀNG ĐI CÔNG TÁC', 'TRUNG THỰC', 'NĂNG ĐỘNG', 'NHIỆT TÌNH', 'THẬT THÀ', 'CHỊU KHÓ', 'HÒA ĐỒNG', 'CÓ TRÁCH NHIỆM', 'ĐỌC HIỂU TÀI LIỆU KỸ THUẬT', 'GIAO TIẾP TIẾNG ANH', 'LÀM VIỆC VỚI ĐỐI TÁC NƯỚC NGOÀI']",45.0,20000000.0,40000000.0,2.0,6.0,False,False
Lập Trình Viên. Net,"['.NET', 'ASP.NET', 'EF CORE', 'LINQ', 'RESTFUL API', 'WCF', 'SOAP', 'HTML5', 'CSS3', 'AJAX', 'JQUERY', 'REACT', 'ANGULAR', 'VUE', 'DOCKER', 'CI/CD', 'GIT', 'GITLAB', 'SQL SERVER', 'ORACLE', 'POSTGRESQL', 'FRONT-END', 'BACK-END']","['C#', 'JAVASCRIPT', 'TYPESCRIPT', 'SQL']","['CÔNG NGHỆ THÔNG TIN', 'SOFTWARE ENGINEERING', 'FRONTEND DEVELOPER', 'VIỆC LÀM IT']",2,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,['TIẾNG VIỆT'],"['RESEARCH TÀI LIỆU', 'ĐỌC TÀI LIỆU', 'PHÂN TÍCH', 'SÁNG TẠO', 'CHỊU ĐƯỢC ÁP LỰC CÔNG VIỆC', 'TINH THẦN HỌC HỎI', 'HỢP TÁC TRONG CÔNG VIỆC']",51.5,,,2.0,6.0,True,False
"Manual Tester (Web, Mobile)","['WEB', 'MOBILE', 'API', 'PERFORMANCE TESTING', 'AUTOMATION TESTING', 'AGILE', 'SCRUM', 'KHOA HỌC MÁY TÍNH', 'TOÁN - TIN', 'AN TOÀN THÔNG TIN', 'API TESTING', 'SOFTWARE DEVELOPMENT PROCESS', 'SOFTWARE TESTING PROCESS', 'FUNCTIONAL TESTING', 'NON-FUNCTIONAL TESTING', 'EXPLORATORY TESTING', 'BLACK-BOX TESTING', 'TEST DESIGN TECHNIQUES', 'HTTP', 'HTTPS', 'JMETER']",['SQL'],"['CÔNG NGHỆ THÔNG TIN', 'SOFTWARE TESTING', 'MANUAL TESTER', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['PHÂN TÍCH YÊU CẦU PHẦN MỀM', 'TƯ DUY PHÂN TÍCH', 'TƯ DUY PHẢN BIỆN', 'TIẾNG ANH', 'HƯỚNG DẪN', 'REVIEW TEST CASE', 'CẨN THẬN', 'TƯ DUY LOGIC', 'LÀM VIỆC NHÓM', 'CHỊU ÁP LỰC', 'TINH THẦN HỌC HỎI', 'CHỦ ĐỘNG TRONG CÔNG VIỆC', 'KỸ NĂNG VIẾT TEST CASE', 'KIẾN THỨC VỀ KIỂM THỬ PHẦN MỀM', 'KỸ NĂNG THỰC HIỆN TEST', 'KỸ NĂNG SỬ DỤNG CÔNG CỤ TEST', 'KỸ NĂNG PHÂN TÍCH YÊU CẦU', 'KỸ NĂNG BÁO CÁO LỖI']",50.0,30000000.0,35000000.0,2.0,6.0,False,False
Tester Game Chỉ Tuyển Nữ,"['WEB', 'ANDROID', 'IOS', 'AI', 'CHATGPT', 'COPILOT CHAT', 'BUGZILLA', 'KATALON STUDIO', 'UI/UX', 'SMOKE TEST', 'REGRESSION TEST', 'FREE TEST', 'EXPLORATORY TEST']",[],"['CÔNG NGHỆ THÔNG TIN', 'SOFTWARE TESTING', 'SOFTWARE TESTER (AUTOMATION & MANUAL)', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,['TIẾNG VIỆT'],"['PHÂN TÍCH YÊU CẦU', 'VIẾT TESTCASE/CHECKLIST', 'LÊN KẾ HOẠCH KIỂM THỬ', 'BÁO CÁO', 'PHỐI HỢP', 'TỰ TỔ CHỨC CÔNG VIỆC', 'LÀM VIỆC ĐỘC LẬP', 'TUÂN THỦ DEADLINE', 'TƯ DUY LOGIC', 'CẨN THẬN', 'CÓ TRÁCH NHIỆM', 'THÍCH ỨNG NHANH', 'GIAO TIẾP', 'GIẢI QUYẾT VẤN ĐỀ', 'TƯ DUY PHẢN BIỆN', 'TEST GAME']",47.5,8000000.0,15000000.0,2.0,6.0,False,False
Data Analyst,"['BI', 'POWERBI', 'LOOKER', 'LOOKER STUDIO', 'BIG DATA', 'STAR SCHEMA', 'SNOWFLAKE SCHEMA', 'DATA GOVERNANCE', 'METADATA', 'TAXONOMY', 'DOMAIN', 'GLOSSARY', 'DICTIONARY', 'MASTER DATA MANAGEMENT', 'REFERENCE DATA MANAGEMENT', 'LAKEHOUSE', 'STREAMING DATA', 'KHOA HỌC DỮ LIỆU', 'TOÁN THỐNG KÊ', 'KINH TẾ LƯỢNG']",['SQL'],"['DATA SCIENCE', 'DATA ANALYST', 'VIỆC LÀM IT']",5,['HÀ NỘI'],['HÀ NỘI'],500.0,1000.0,['TIẾNG VIỆT'],"['PHÂN TÍCH DỮ LIỆU', 'BUSINESS ANALYST', 'DATA ANALYST', 'KỸ NĂNG THUYẾT TRÌNH', 'KHẢO SÁT', 'THU THẬP DỮ LIỆU', 'TÀI LIỆU HÓA', 'XÂY DỰNG VÀ TỐI ƯU CÁC MÔ HÌNH DỮ LIỆU', 'XÂY DỰNG DASHBOARD/BÁO CÁO', 'TỐI ƯU LUỒNG DỮ LIỆU', 'KIỂM THỬ', 'NGHIỆM THU', 'ĐÀO TẠO', 'KỸ NĂNG NGHIỆP VỤ', 'KỸ NĂNG MỀM']",45.0,,30000000.0,2.0,6.0,False,False
Thực Tập Sinh Network Security (Security/ Intern),"['CYBER SECURITY', 'PENETRATION TESTING', 'WEB SECURITY', 'EMAIL SECURITY', 'ENDPOINT SECURITY', 'NETWORK SECURITY', 'NMAP', 'WIRESHARK', 'BURP SUITE', 'MALWARE ANALYSIS', 'EXPLOITS', 'OWASP', 'INCIDENT RESPONSE', 'SYSTEM INTEGRATION', 'RISK ANALYSIS', 'TCP/IP', 'FIREWALLS', 'IDS/IPS', 'ENCRYPTION', 'COMPTIA SECURITY+', 'CEH', 'CCNA', 'CCNP']","['PYTHON', 'BASH']","['CÔNG NGHỆ THÔNG TIN', 'INFORMATION SECURITY', 'CHUYÊN VIÊN CYBER SECURITY', 'VIỆC LÀM IT']",5,['HÀ NỘI'],['HỒ CHÍ MINH'],100.0,499.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['TECHNICAL SUPPORT', 'TROUBLESHOOTING', 'LOGICAL THINKING', 'TEAMWORK', 'ENGLISH']",,,,2.0,6.0,False,False
Chuyên Viên Kiểm Tra Chất Lượng Phần Mềm - Tester,"['QA', 'FUNCTIONAL TESTING', 'REGRESSION TESTING', 'INTEGRATION TESTING', 'JIRA', 'BUGZILLA', 'MANTIS', 'TESTRAIL', 'ZEPHYR', 'SELENIUM', 'APPIUM', 'ISTQB', 'CSTE', 'AGILE/SCRUM', 'AUTOMATION TESTING', 'BANKING', 'E-COMMERCE', 'MOBILE APP']",[],"['CÔNG NGHỆ THÔNG TIN', 'SOFTWARE TESTING', 'SOFTWARE TESTER (AUTOMATION & MANUAL)', 'VIỆC LÀM IT']",3,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],100.0,499.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['PHÂN TÍCH YÊU CẦU', 'LẬP KẾ HOẠCH KIỂM THỬ', 'VIẾT TEST CASE', 'QUẢN LÝ BUG', 'LÀM VIỆC ĐỘC LẬP', 'LÀM VIỆC NHÓM', 'TƯ DUY LOGIC', 'KỸ NĂNG PHÂN TÍCH', 'GIẢI QUYẾT VẤN ĐỀ', 'QUẢN LÝ THỜI GIAN', 'KỸ NĂNG GIAO TIẾP', 'CHỦ ĐỘNG TRONG CÔNG VIỆC', 'ĐỌC HIỂU TÀI LIỆU TIẾNG ANH', 'XÂY DỰNG TÀI LIỆU HƯỚNG DẪN SỬ DỤNG', 'ĐÀO TẠO NGƯỜI DÙNG']",49.0,10000000.0,20000000.0,2.0,6.0,True,False
Manual Testers,"['AGILE', 'TESTING FRAMEWORK']",[],"['CÔNG NGHỆ THÔNG TIN', 'SOFTWARE TESTING', 'MANUAL TESTER', 'VIỆC LÀM IT']",3,['HÀ NỘI'],['HÀ NỘI'],100.0,499.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['TESTING', 'DESIGNING TEST CASE', 'DEFECT ANALYSIS', 'PREPARING TEST REPORT', 'SOLUTION HANDLING', 'ENGLISH', 'COLLABORATION', 'TEST PLANNING']",40.0,,20000000.0,2.0,6.0,False,False
Product Owner (Sản Phẩm Giáo Dục),"['AGILE', 'SCRUM', 'AMPLITUDE', 'GA4', 'MIXPANEL', 'LOOKER STUDIO', 'UI/UX']",[],"['CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'PRODUCT OWNER/PRODUCT MANAGER', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],500.0,1000.0,['TIẾNG VIỆT'],"['PHÂN TÍCH DỮ LIỆU', 'A/B TESTING', 'NGHIÊN CỨU NGƯỜI DÙNG', 'SPRINT PLANNING', 'QUẢN LÝ SẢN PHẨM', 'TƯ DUY DATA-DRIVEN', 'TƯ DUY HỆ THỐNG', 'RA QUYẾT ĐỊNH DỰA TRÊN DỮ LIỆU', 'GIAO TIẾP', 'ĐIỀU PHỐI', 'THÍCH NGHI']",46.25,30000000.0,50000000.0,2.0,6.0,False,False
